Producto,Cadereyta Precio por unidad,Cadereyta Cantidad ordenada,Coahuila Precio por unidad,Coahuila Cantidad ordenada,Durango Precio por unidad,Durango Cantidad ordenada,Expos F Precio por unidad,Expos F Cantidad ordenada,Laredo Precio por unidad,Laredo Cantidad ordenada,Monterrey Precio por unidad,Monterrey Cantidad ordenada,Online Precio por unidad,Online Cantidad ordenada,Queretaro Precio por unidad,Queretaro Cantidad ordenada,Reynosa Precio por unidad,Reynosa Cantidad ordenada,San Luis Precio por unidad,San Luis Cantidad ordenada,Fecha
Producto 19,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10416.800000000001,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 62,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7412.93,7,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 63,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9481.9,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 21,1378.485,70,1793.97,3.5,0.0,0,0.0,0,1602.155,14,1497.45,14,0.0,0,0.0,0,1845.25,7,0.0,0,2022-04-04
Producto 64,0.0,0,0.0,0,0.0,0,0.0,0,2057.0099999999998,10.5,1935.4,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 65,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2838.79,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 36,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9676.72,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 66,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4643.78,3.5,0.0,0,0.0,0,2022-04-04
Producto 67,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8648.83,3.5,0.0,0,0.0,0,2022-04-04
Producto 54,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21991.28,3.5,0.0,0,2022-04-04
Producto 42,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,12220.289999999999,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
Producto 23,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19471.46,7,0.0,0,22479.02,3.5,0.0,0,0.0,0,2022-04-04
Producto 44,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,22000.07,3.5,0.0,0,0.0,0,0.0,0,0.0,0,2022-04-04
